lipid,salt conc (mono),salt conc (di),pH,Rh,temp,zeta,sd,ref,notes,,,
DMPC,20,0,7.4,200,23,-9.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,40,0,7.4,200,23,-4,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,60,0,7.4,200,23,-2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,80,0,7.4,200,23,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,100,0,7.4,200,23,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,125,0,7.4,200,23,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,154,0,7.4,200,23,1.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,5,0,7.4,200,33,-17,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,10,0,7.4,200,33,-2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,20,0,7.4,200,33,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,40,0,7.4,200,33,1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,60,0,7.4,200,33,3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,80,0,7.4,200,33,2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,100,0,7.4,200,33,4.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,125,0,7.4,200,33,4.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,154,0,7.4,200,33,4,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,5,0,7.4,200,33,-9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,10,0,7.4,200,33,-6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,20,0,7.4,200,33,-2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,40,0,7.4,200,33,-6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,60,0,7.4,200,33,-3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,80,0,7.4,200,33,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,100,0,7.4,200,33,-1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,125,0,7.4,200,33,-2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,154,0,7.4,200,33,-1.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,5,0,7.4,200,38,-17,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,10,0,7.4,200,38,-20,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,20,0,7.4,200,38,-6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,40,0,7.4,200,38,-8,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,60,0,7.4,200,38,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,80,0,7.4,200,38,0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,100,0,7.4,200,38,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,125,0,7.4,200,38,1.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,154,0,7.4,200,38,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,5,0,7.4,200,53,-15.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,10,0,7.4,200,53,-13.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,20,0,7.4,200,53,-9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,40,0,7.4,200,53,-5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,60,0,7.4,200,53,-3.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,80,0,7.4,200,53,-2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,100,0,7.4,200,53,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,125,0,7.4,200,53,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,154,0,7.4,200,53,1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,5,0,7.4,200,45,-6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,10,0,7.4,200,45,-1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,20,0,7.4,200,45,0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,40,0,7.4,200,45,3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,60,0,7.4,200,45,5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,80,0,7.4,200,45,5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,100,0,7.4,200,45,6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,125,0,7.4,200,45,7.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
